,date,time,distance(m),speed(mm/s),heart_rate(bpm),position_lat,position_long
0,2018-12-10,07:41:39,0.0,2682,76,33.64723107777536,73.03694165311754
1,2018-12-10,07:41:40,0.06,2166,76,33.64723174832761,73.03694240748882
2,2018-12-10,07:41:43,0.67,1242,77,33.647231329232454,73.03694861009717
3,2018-12-10,07:41:56,2.7,276,80,33.64722864702344,73.03695229813457
4,2018-12-10,07:42:02,4.0,245,83,33.64721942692995,73.0369537230581
5,2018-12-10,07:42:07,5.04,219,89,33.64721121266484,73.03694835864007
6,2018-12-10,07:42:08,5.2,213,93,33.64721104502678,73.03694634698331
7,2018-12-10,07:42:10,5.58,207,89,33.64721288904548,73.03694592788815
8,2018-12-10,07:42:13,5.91,169,92,33.64721490070224,73.03694299422204
9,2018-12-10,07:43:04,25.18,1108,90,33.64720970392227,73.03684433922172
10,2018-12-10,07:43:06,26.97,1097,87,33.64719897508621,73.03683000616729
11,2018-12-10,07:43:09,31.07,1091,84,33.6471735779196,73.03679924458265
12,2018-12-10,07:43:10,31.81,1081,87,33.64716955460608,73.03679270669818
13,2018-12-10,07:43:13,34.88,1093,93,33.647175673395395,73.03676135838032
14,2018-12-10,07:43:16,40.53,1165,97,33.647199058905244,73.03670788183808
15,2018-12-10,07:43:23,50.84,1265,98,33.64716234616935,73.03660319186747
16,2018-12-10,07:43:28,59.28,1325,99,33.64713183604181,73.03652012720704
17,2018-12-10,07:43:30,62.03,1329,100,33.64712613634765,73.03649112582207
18,2018-12-10,07:43:39,68.6,708,104,33.64712764509022,73.03643035702407
19,2018-12-10,07:43:43,70.91,700,101,33.64714415743947,73.03641501814127
20,2018-12-10,07:43:46,75.43,771,97,33.64717869088054,73.0363889504224
21,2018-12-10,07:43:50,81.05,845,94,33.64722101949155,73.03635550662875
22,2018-12-10,07:43:53,84.87,883,98,33.64724759012461,73.03632943890989
23,2018-12-10,07:43:55,88.57,941,101,33.6472790222615,73.03631544113159
24,2018-12-10,07:44:11,109.02,1184,102,33.64744112826884,73.03621360100806
25,2018-12-10,07:44:18,120.61,1315,99,33.647483540698886,73.03608820773661
26,2018-12-10,07:44:34,140.88,1313,99,33.647608598694205,73.03592652082443
27,2018-12-10,07:44:48,162.13,1401,99,33.6477711237967,73.03579282946885
28,2018-12-10,07:44:50,165.27,1411,99,33.64779316820204,73.03577246144414
29,2018-12-10,07:45:04,185.53,1413,99,33.64794613793492,73.03565134294331
30,2018-12-10,07:45:16,211.68,1093,99,33.648145124316216,73.03550725802779
31,2018-12-10,07:45:19,236.6,1519,98,33.64834243431687,73.03537876345217
32,2018-12-10,07:45:22,263.57,1960,97,33.64855105988681,73.03522939793766
33,2018-12-10,07:45:25,292.64,2417,97,33.648773012682796,73.03506293334067
34,2018-12-10,07:45:28,320.16,2816,97,33.648987002670765,73.03491189144552
35,2018-12-10,07:45:32,342.26,3027,97,33.649134021252394,73.03475632332265
36,2018-12-10,07:45:36,363.02,3200,96,33.64907752722502,73.03454618901014
37,2018-12-10,07:45:39,386.22,3468,95,33.64897266961634,73.03432943299413
38,2018-12-10,07:45:42,406.94,3670,94,33.6488869227469,73.03413094952703
39,2018-12-10,07:45:48,428.84,3670,93,33.64890670403838,73.0339091643691
40,2018-12-10,07:45:53,453.2,3810,93,33.6490507889539,73.03371244110167
41,2018-12-10,07:45:56,474.89,4014,93,33.649215241894126,73.03358570672572
42,2018-12-10,07:45:59,504.78,4367,92,33.649440463632345,73.03340759128332
43,2018-12-10,07:46:01,528.09,4657,91,33.64961950108409,73.03327582776546
44,2018-12-10,07:46:03,548.48,4877,91,33.64978236146271,73.03317398764193
45,2018-12-10,07:46:06,569.7,5007,91,33.649951592087746,73.03306703455746
